% 
/oll
/sa l 	B=+9.0000-T;	 2
674.638	2916.87
674.647	2937
674.657	2983
674.666	2967.09
674.676	2987
674.686	3007.05
674.695	3073
674.705	3042.98
674.714	3096
674.724	3060.99
674.733	3049
674.743	3254
674.752	3282
674.762	3328
674.772	3261
674.781	3387.27
674.791	3511
674.8	3549
674.81	3566
674.819	3528
674.829	3367.25
674.839	3524
674.848	3421.3
674.858	3488
674.867	3556
674.877	3443.32
674.886	3421.3
674.896	3470.66
674.905	3255
674.915	3425.3
674.925	3492
674.934	3607
674.944	3828
674.953	3793.61
674.963	4006
674.972	4410
674.982	4782.45
674.991	5171.22
675.001	5565.11
675.011	5955
675.02	6021
675.03	5878
675.039	5271
675.049	4910
675.058	4357
675.068	4007
675.077	3903
675.087	3596
675.097	3657
675.106	3444
675.116	3463
675.125	3265.16
675.135	3317
675.144	3592
675.154	3520
675.163	3478
675.173	3511
675.182	3531
675.192	3509
675.202	3544
675.211	3492
675.221	3441
675.23	3531.39
675.24	3530
675.249	3488
675.259	3445.32
675.268	3415.29
675.278	3359
675.288	3361.25
675.297	3435.31
675.307	3559
675.316	3539.4
675.326	3510
675.335	3539
675.345	3558
675.354	3410
675.364	3480
675.373	3478.65
675.383	3474
675.393	3521
675.402	3466.67
675.412	3412
675.421	3480
675.431	3362
675.44	3314
675.45	3413.29
675.459	3449.32
675.469	3381
675.479	3500
675.488	3372
675.498	3289.19
675.507	3460
675.517	3446
675.526	3334.78
675.536	3306
675.545	3248.85
675.555	3390
675.564	3379
675.574	3399
675.583	3296.81
675.593	3376.74
675.603	3324
675.612	3362
675.622	3347.23
675.631	3433
675.641	3460
675.65	3386.73
675.66	3529
675.669	3431
675.679	3394
675.688	3507
675.698	3476
675.708	3530
675.717	3610
675.727	3529
675.736	3714
675.746	3657
675.755	3944
675.765	3846.34
675.774	3850.34
675.784	4057
675.793	4020.2
675.803	4072
675.812	4024
675.822	3906.29
675.831	4175
675.841	4200.04
675.851	4320
675.86	4333
675.87	4303
675.879	4336
675.889	4228
675.898	4340
675.908	4309.95
675.917	4280
675.927	4483
675.936	4474
675.946	4602
675.955	4542
675.965	4568.27
675.974	4779
